ano_mes,forma_pagamento,quantidade,valor
2005-11,Boleto,87796.89,95218.78
2005-11,Cheque,152431.13,86651.31
2005-11,DOC,10465.63,10158.65
2005-11,Pix,0.0,0.0
2005-11,TEC,0.0,0.0
2005-11,TED,3667.78,354097.66
2005-12,Boleto,91067.15,98846.86
2005-12,Cheque,2303804.81,92243.56
2005-12,DOC,11349.19,10989.05
2005-12,Pix,0.0,0.0
2005-12,TEC,0.0,0.0
2005-12,TED,3976.55,405734.51
2006-01,Boleto,92932.2,102845.65
2006-01,Cheque,145880.51,88305.51
2006-01,DOC,10294.18,10123.92
2006-01,Pix,0.0,0.0
2006-01,TEC,0.0,0.0
2006-01,TED,3759.14,374032.81
2006-02,Boleto,78671.32,79967.89
2006-02,Cheque,117800.04,72218.3
2006-02,DOC,8629.29,8492.97
2006-02,Pix,0.0,0.0
2006-02,TEC,0.0,0.0
2006-02,TED,3301.54,313860.35
2006-03,Boleto,100741.66,110592.37
2006-03,Cheque,158683.31,94127.06
2006-03,DOC,11032.07,10794.04
2006-03,Pix,0.0,0.0
2006-03,TEC,0.0,0.0
2006-03,TED,4251.58,401593.0
2006-04,Boleto,87403.26,92888.6
2006-04,Cheque,126144.66,76876.35
2006-04,DOC,9376.93,9171.0
2006-04,Pix,0.0,0.0
2006-04,TEC,0.0,0.0
2006-04,TED,3543.46,340452.62
2006-05,Boleto,97577.51,106088.27
2006-05,Cheque,146091.82,88776.78
2006-05,DOC,10864.84,10654.51
2006-05,Pix,0.0,0.0
2006-05,TEC,0.0,0.0
2006-05,TED,4339.33,429943.13
2006-06,Boleto,93815.68,101329.22
2006-06,Cheque,131316.58,82210.51
2006-06,DOC,10837.93,10519.8
2006-06,Pix,0.0,0.0
2006-06,TEC,0.0,0.0
2006-06,TED,3925.71,396057.6
2006-07,Boleto,94535.23,102076.18
2006-07,Cheque,130688.95,82250.83
2006-07,DOC,10856.77,10837.75
2006-07,Pix,0.0,0.0
2006-07,TEC,0.0,0.0
2006-07,TED,3972.65,385644.5
2006-08,Boleto,98887.19,107452.6
2006-08,Cheque,139190.46,86551.56
2006-08,DOC,11078.13,10890.44
2006-08,Pix,0.0,0.0
2006-08,TEC,0.0,0.0
2006-08,TED,4327.76,423640.3
2006-09,Boleto,95132.93,101225.62
2006-09,Cheque,125426.55,79784.02
2006-09,DOC,10988.97,10689.81
2006-09,Pix,0.0,0.0
2006-09,TEC,0.0,0.0
2006-09,TED,3967.17,393109.7
2006-10,Boleto,104132.3,112845.1
2006-10,Cheque,137232.22,87393.66
2006-10,DOC,11808.7,11500.52
2006-10,Pix,0.0,0.0
2006-10,TEC,0.0,0.0
2006-10,TED,4267.62,440956.67
2006-11,Boleto,99944.75,108898.05
2006-11,Cheque,128753.87,83769.92
2006-11,DOC,11371.69,11270.4
2006-11,Pix,0.0,0.0
2006-11,TEC,0.0,0.0
2006-11,TED,4170.59,422748.27
2006-12,Boleto,101321.81,109193.27
2006-12,Cheque,134503.14,87916.16
2006-12,DOC,12548.6,12489.2
2006-12,Pix,0.0,0.0
2006-12,TEC,0.0,0.0
2006-12,TED,4410.12,482137.12
2007-01,Boleto,107681.89,120501.42
2007-01,Cheque,131658.45,89991.59
2007-01,DOC,11213.06,11557.41
2007-01,Pix,0.0,0.0
2007-01,TEC,0.0,0.0
2007-01,TED,4458.28,465489.17
2007-02,Boleto,97982.44,101562.18
2007-02,Cheque,113092.19,75132.08
2007-02,DOC,9609.98,9739.4
2007-02,Pix,0.0,0.0
2007-02,TEC,0.0,0.0
2007-02,TED,3889.62,395383.49
2007-03,Boleto,105162.05,111644.32
2007-03,Cheque,125949.85,85821.61
2007-03,DOC,11243.71,11258.9
2007-03,Pix,0.0,0.0
2007-03,TEC,0.0,0.0
2007-03,TED,4727.46,476943.05
2007-04,Boleto,107811.9,117476.92
2007-04,Cheque,118417.79,85287.84
2007-04,DOC,10877.72,10956.44
2007-04,Pix,0.0,0.0
2007-04,TEC,0.08,0.06
2007-04,TED,4599.34,489947.4
2007-05,Boleto,109917.13,118450.61
2007-05,Cheque,127870.56,89289.21
2007-05,DOC,11643.26,11577.25
2007-05,Pix,0.0,0.0
2007-05,TEC,0.35,0.49
2007-05,TED,5262.72,509530.31
2007-06,Boleto,105972.15,112283.35
2007-06,Cheque,114651.67,82199.39
2007-06,DOC,11386.84,11385.11
2007-06,Pix,0.0,0.0
2007-06,TEC,0.86,0.93
2007-06,TED,4691.51,513960.21
2007-07,Boleto,114819.89,122050.22
2007-07,Cheque,124079.25,88892.85
2007-07,DOC,12123.27,12258.31
2007-07,Pix,0.0,0.0
2007-07,TEC,2.11,2.19
2007-07,TED,5036.6,527397.41
2007-08,Boleto,115373.87,123374.02
2007-08,Cheque,121794.99,89403.56
2007-08,DOC,12910.78,12984.83
2007-08,Pix,0.0,0.0
2007-08,TEC,3.55,4.03
2007-08,TED,5310.32,567318.88
2007-09,Boleto,105333.72,112244.46
2007-09,Cheque,109528.49,80050.97
2007-09,DOC,11622.54,11492.53
2007-09,Pix,0.0,0.0
2007-09,TEC,5.72,6.36
2007-09,TED,4648.59,486681.76
2007-10,Boleto,123355.8,135020.03
2007-10,Cheque,126542.6,94163.35
2007-10,DOC,13683.76,13472.99
2007-10,Pix,0.0,0.0
2007-10,TEC,7.92,8.31
2007-10,TED,5522.13,599549.2
2007-11,Boleto,115375.96,126496.72
2007-11,Cheque,115915.36,87706.55
2007-11,DOC,13295.92,13100.74
2007-11,Pix,0.0,0.0
2007-11,TEC,14.55,14.57
2007-11,TED,5223.69,557588.69
2007-12,Boleto,115293.96,126198.15
2007-12,Cheque,119710.32,88887.15
2007-12,DOC,13230.37,13504.66
2007-12,Pix,0.0,0.0
2007-12,TEC,19.93,19.82
2007-12,TED,5319.55,587924.96
2008-01,Boleto,123288.53,137736.05
2008-01,Cheque,119060.39,95335.75
2008-01,DOC,12313.75,12579.07
2008-01,Pix,0.0,0.0
2008-01,TEC,16.23,15.83
2008-01,TED,5332.12,637574.89
2008-02,Boleto,112565.98,119505.88
2008-02,Cheque,107084.14,84127.09
2008-02,DOC,11260.4,11456.66
2008-02,Pix,0.0,0.0
2008-02,TEC,15.99,15.65
2008-02,TED,4823.67,522354.44
2008-03,Boleto,120484.71,131324.94
2008-03,Cheque,111195.32,90673.53
2008-03,DOC,12107.81,12146.92
2008-03,Pix,0.0,0.0
2008-03,TEC,20.49,19.71
2008-03,TED,5173.34,596702.99
2008-04,Boleto,122512.3,136180.47
2008-04,Cheque,115038.47,92992.63
2008-04,DOC,12753.74,12758.17
2008-04,Pix,0.0,0.0
2008-04,TEC,26.25,23.97
2008-04,TED,5625.45,638969.76
2008-05,Boleto,121134.44,134120.12
2008-05,Cheque,112872.65,92461.4
2008-05,DOC,12321.27,12531.6
2008-05,Pix,0.0,0.0
2008-05,TEC,26.55,26.98
2008-05,TED,5558.99,613046.29
2008-06,Boleto,125983.88,140666.62
2008-06,Cheque,111731.72,94529.88
2008-06,DOC,14074.9,13833.6
2008-06,Pix,0.0,0.0
2008-06,TEC,30.35,32.16
2008-06,TED,5607.43,635331.04
2008-07,Boleto,121144.73,145143.75
2008-07,Cheque,121246.85,101272.39
2008-07,DOC,13957.03,14361.78
2008-07,Pix,0.0,0.0
2008-07,TEC,35.57,38.83
2008-07,TED,6022.99,663176.17
2008-08,Boleto,124078.98,140255.79
2008-08,Cheque,109390.23,93788.99
2008-08,DOC,13613.09,13772.77
2008-08,Pix,0.0,0.0
2008-08,TEC,37.5,39.48
2008-08,TED,5601.55,604109.22
2008-09,Boleto,135836.02,156160.91
2008-09,Cheque,117815.91,102074.22
2008-09,DOC,14541.79,14507.37
2008-09,Pix,0.0,0.0
2008-09,TEC,40.97,43.86
2008-09,TED,5953.6,688571.63
2008-10,Boleto,136296.25,156109.0
2008-10,Cheque,118920.34,103395.3
2008-10,DOC,15047.9,14994.51
2008-10,Pix,0.0,0.0
2008-10,TEC,46.1,51.32
2008-10,TED,6024.86,768887.04
2008-11,Boleto,124658.34,139283.96
2008-11,Cheque,104633.87,90021.53
2008-11,DOC,14120.59,13978.14
2008-11,Pix,0.0,0.0
2008-11,TEC,64.06,73.25
2008-11,TED,5319.26,601759.93
2008-12,Boleto,141151.04,159009.61
2008-12,Cheque,124419.76,104277.13
2008-12,DOC,14975.44,15450.75
2008-12,Pix,0.0,0.0
2008-12,TEC,85.49,87.26
2008-12,TED,6109.03,734198.93
2009-01,Boleto,123710.53,134502.49
2009-01,Cheque,101744.13,88989.97
2009-01,DOC,12380.7,12593.26
2009-01,Pix,0.0,0.0
2009-01,TEC,61.85,68.28
